City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
415,Bocas Del Toro,PA,87.08,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
423,Sulangan,PH,79.18,overcast clouds,11.1373,123.7228,Maia's Beach Resort
429,Rocha,UY,78.53,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
432,Honiara,SB,76.3,moderate rain,-9.4333,159.95,Heritage Park Hotel
434,Ahipara,NZ,75.47,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
439,Imbituba,BR,80.82,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
445,Rameswaram,IN,79.21,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
449,Agnibilekrou,CI,79.56,few clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
456,Mana,GF,78.24,scattered clouds,5.6592,-53.7767,LE SAMANA
460,Tutoia,BR,84.18,broken clouds,-2.7619,-42.2744,Pousada Guará's
464,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
465,Bull Savanna,JM,77.13,broken clouds,17.8868,-77.5902,Big Red's
476,Mount Isa,AU,82.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
477,Sarangani,PH,81.14,overcast clouds,5.4033,125.4636,Ballistic Islet
478,Jalingo,NG,78.42,clear sky,8.8833,11.3667,Debright Motel
479,Axim,GH,79.92,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
483,Ibotirama,BR,88.32,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
491,Maningrida,AU,79.14,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
493,Bluefields,NI,82.02,scattered clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
494,San Pedro,PH,77.11,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
497,Phangnga,TH,75.24,overcast clouds,8.4509,98.5298,Sunimit Mansion
498,Guerrero Negro,MX,75.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
499,Pisco,PE,82.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
502,Matara,LK,75.09,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
508,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
512,Santa Isabel Do Rio Negro,BR,85.15,broken clouds,-0.4139,-65.0192,Hotel GSA
513,Kingston,JM,81.55,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
518,Bang Saphan,TH,75.69,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
520,Inhambane,MZ,75.63,few clouds,-23.865,35.3833,Oceano
524,Wajir,KE,87.28,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
527,San Vicente,AR,87.82,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
531,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
532,Gunjur,GM,83.26,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
535,Tabou,CI,79.7,scattered clouds,4.423,-7.3528,hotêl doufoulougou
544,Ahuimanu,US,78.51,clear sky,21.4447,-157.8378,Paradise Bay Resort
549,Sotouboua,TG,82.18,broken clouds,8.5667,0.9833,Auberge Médina
559,Vao,NC,80.76,light rain,-22.6667,167.4833,Hotel Kou-Bugny
561,Touho,NC,79.32,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
565,Fare,PF,81.66,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
566,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
569,Dangriga,BZ,81.99,clear sky,16.9692,-88.2321,Chaleanor Hotel
572,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
573,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
578,Makurdi,NG,85.66,clear sky,7.7411,8.5121,Doo Palace Hotel
586,Sinnamary,GF,78.44,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
588,Manzanillo,CU,87.24,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
595,Waingapu,ID,78.13,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
598,Vaitape,PF,81.19,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
604,Bethlehem,BR,82.44,scattered clouds,-1.4558,-48.5044,Mercure Belém Boulevard
610,Galle,LK,77.2,overcast clouds,6.0367,80.217,Amangalla
615,Hambantota,LK,77.11,overcast clouds,6.1241,81.1185,Bungalow 63
618,Banda Aceh,ID,77.61,overcast clouds,5.5577,95.3222,Sulthan Hotel International
620,Carlos Chagas,BR,81.97,overcast clouds,-17.7031,-40.7664,Minas Hotel
622,Norsup,VU,80.53,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
624,Hobyo,SO,76.71,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
634,General Roca,AR,77.56,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
637,Porto Novo,BJ,80.42,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
640,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
641,Kulhudhuffushi,MV,81.5,overcast clouds,6.6221,73.07,Haajy Guest House 1
643,Tepalcatepec,MX,88.7,clear sky,19.1833,-102.85,Maria De Jesus
644,Saint-Leu,RE,76.06,few clouds,-21.15,55.2833,La Caz Oceane
656,Buin,CL,85.05,broken clouds,-33.7333,-70.75,Paihuen
661,Iracoubo,GF,78.22,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
663,Samarai,PG,80.26,broken clouds,-10.6167,150.6667,Nuli Sapi
664,Altamira,BR,81.05,overcast clouds,-3.2033,-52.2064,Requinte Hotel
676,Rabaul,PG,78.69,overcast clouds,-4.1967,152.1721,Rabaul Hotel
679,Magomeni,TZ,80.15,overcast clouds,-6.8,39.25,Conway Hotel
680,Tarata,BO,76.42,moderate rain,-17.6167,-66.0167,Hacienda castillo
682,Boulsa,BF,80.91,clear sky,12.6675,-0.5758,Auberge Relwende
