City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mizdah,LY,2022-02-01 22:02:49,31.4451,12.9801,45.16,65,46,14.7
1,Ushuaia,AR,2022-02-01 22:00:53,-54.8,-68.3,41.13,93,99,9.89
2,Rikitea,PF,2022-02-01 22:00:57,-23.1203,-134.9692,78.35,70,93,5.73
3,Yellowknife,CA,2022-02-01 21:57:58,62.456,-114.3525,-18.71,74,0,8.05
4,Butaritari,KI,2022-02-01 22:02:50,3.0707,172.7902,81.63,76,45,11.14
5,Mataura,NZ,2022-02-01 22:00:51,-46.1927,168.8643,73.47,60,100,7.67
6,Novodugino,RU,2022-02-01 22:02:50,55.6305,34.2842,18.79,93,98,10.98
7,Belaya Gora,RU,2022-02-01 22:02:51,68.5333,146.4167,-15.18,96,100,4.92
8,Atuona,PF,2022-02-01 22:02:51,-9.8,-139.0333,78.33,73,13,20.33
9,Georgetown,MY,2022-02-01 21:59:53,5.4112,100.3354,82.33,88,20,1.99
10,Punta Arenas,CL,2022-02-01 21:57:47,-53.15,-70.9167,51.91,50,20,37.98
11,Cape Town,ZA,2022-02-01 21:59:41,-33.9258,18.4232,69.1,85,20,1.99
12,San Jose,US,2022-02-01 21:59:07,37.3394,-121.895,62.82,28,0,1.99
13,Jamestown,US,2022-02-01 22:00:18,42.097,-79.2353,38.95,84,94,15.64
14,Umea,SE,2022-02-01 22:02:52,63.8284,20.2597,12.13,85,100,9.22
15,North Bend,US,2022-02-01 22:02:52,43.4065,-124.2243,48.24,94,20,9.22
16,Alta Floresta,BR,2022-02-01 22:02:52,-9.8756,-56.0861,73.18,93,80,3.09
17,Xingyi,CN,2022-02-01 22:02:53,24.1877,102.817,41.38,96,92,4.45
18,Huilong,CN,2022-02-01 22:02:53,31.8111,121.655,41.04,79,100,7.99
19,Roald,NO,2022-02-01 22:02:53,62.5833,6.1333,37.0,86,75,4.61
20,Mar Del Plata,AR,2022-02-01 21:57:52,-38.0023,-57.5575,82.42,67,0,13.0
21,Puerto Ayora,EC,2022-02-01 22:02:54,-0.7393,-90.3518,76.55,91,71,4.0
22,Nunoa,PE,2022-02-01 22:02:54,-14.48,-70.6411,48.52,77,98,7.07
23,Bluff,NZ,2022-02-01 22:01:59,-46.6,168.3333,73.8,66,97,14.03
24,Kaitangata,NZ,2022-02-01 22:02:54,-46.2817,169.8464,70.93,79,100,6.13
25,Fort Nelson,CA,2022-02-01 22:00:18,58.8053,-122.7002,-2.67,90,80,1.16
26,East London,ZA,2022-02-01 22:00:58,-33.0153,27.9116,75.76,84,100,6.69
27,Qaanaaq,GL,2022-02-01 22:02:55,77.484,-69.3632,-18.85,70,100,12.01
28,San Rafael,AR,2022-02-01 21:59:07,-34.6177,-68.3301,93.42,23,45,10.78
29,Albany,US,2022-02-01 22:00:01,42.6001,-73.9662,32.63,56,41,5.01
30,Hermanus,ZA,2022-02-01 22:02:55,-34.4187,19.2345,70.9,82,20,2.42
31,Cherskiy,RU,2022-02-01 22:02:56,68.75,161.3,-2.24,76,81,5.14
32,Emerald,AU,2022-02-01 22:02:56,-23.5333,148.1667,85.33,63,97,11.3
33,Ribeira Grande,PT,2022-02-01 22:02:04,38.5167,-28.7,59.49,75,55,11.27
34,Djibo,BF,2022-02-01 22:02:56,14.1022,-1.6306,70.54,7,65,10.11
35,Adrar,MR,2022-02-01 22:02:57,20.5022,-10.0711,73.02,16,94,10.0
36,Esperance,AU,2022-02-01 22:02:00,-33.8667,121.9,61.21,67,42,14.36
37,Talnakh,RU,2022-02-01 22:02:57,69.4865,88.3972,6.21,95,100,8.55
38,Vaini,TO,2022-02-01 22:00:48,-21.2,-175.2,79.5,73,12,10.65
39,Riyadh,SA,2022-02-01 22:02:00,24.6877,46.7219,53.49,33,0,9.44
40,Springbok,ZA,2022-02-01 22:02:58,-29.6643,17.8865,67.8,71,90,2.17
41,Pitimbu,BR,2022-02-01 22:02:58,-7.4706,-34.8086,81.34,73,25,8.28
42,Causapscal,CA,2022-02-01 22:02:58,48.3542,-67.227,4.41,96,74,3.96
43,Bathsheba,BB,2022-02-01 22:02:59,13.2167,-59.5167,78.31,74,0,11.97
44,Hilo,US,2022-02-01 21:58:11,19.7297,-155.09,76.12,80,54,3.0
45,Busselton,AU,2022-02-01 22:00:45,-33.65,115.3333,61.05,68,23,18.16
46,Carnarvon,AU,2022-02-01 22:00:49,-24.8667,113.6333,75.94,79,100,8.55
47,Nanortalik,GL,2022-02-01 22:03:59,60.1432,-45.2371,8.35,76,11,12.66
48,Dahuk,IQ,2022-02-01 22:04:00,36.8695,42.994,37.4,68,3,4.85
49,Upernavik,GL,2022-02-01 22:04:00,72.7868,-56.1549,-14.64,74,100,6.71
50,Mogadishu,SO,2022-02-01 22:03:39,2.0371,45.3438,78.01,88,100,18.9
51,Xining,CN,2022-02-01 22:04:00,36.6167,101.7667,10.99,74,94,2.44
52,Mahebourg,MU,2022-02-01 22:04:01,-20.4081,57.7,79.25,100,75,18.41
53,Saint-Joseph,RE,2022-02-01 22:04:01,-21.3667,55.6167,79.16,91,91,21.88
54,Kuantan,MY,2022-02-01 22:04:02,3.8077,103.326,73.44,93,64,5.53
55,New Norfolk,AU,2022-02-01 22:00:48,-42.7826,147.0587,57.76,48,17,1.01
56,San Pedro,PH,2022-02-01 22:04:02,14.35,121.0167,75.09,83,22,8.25
57,Kapaa,US,2022-02-01 22:01:48,22.0752,-159.319,78.12,59,52,1.99
58,Ilulissat,GL,2022-02-01 22:04:02,69.2167,-51.1,3.22,47,100,8.05
59,Changji,CN,2022-02-01 22:04:03,44.0167,87.3167,0.39,85,40,4.47
60,Beloha,MG,2022-02-01 22:04:03,-25.1667,45.05,72.66,84,1,16.87
61,Hithadhoo,MV,2022-02-01 22:02:02,-0.6,73.0833,82.42,73,4,12.41
62,Aginskoye,RU,2022-02-01 22:04:03,51.1,114.53,-15.43,97,33,5.93
63,Dingle,PH,2022-02-01 22:04:04,10.9995,122.6711,73.29,94,86,8.01
64,College,US,2022-02-01 22:04:04,64.8569,-147.8028,1.06,73,20,6.91
65,Dwarka,IN,2022-02-01 22:04:05,22.2394,68.9678,70.99,75,2,7.14
66,Dunmore Town,BS,2022-02-01 22:04:05,25.5,-76.65,69.85,57,100,18.34
67,Lorengau,PG,2022-02-01 22:04:05,-2.0226,147.2712,78.73,80,100,3.89
68,Saint-Philippe,RE,2022-02-01 22:00:52,-21.3585,55.7679,80.15,90,97,20.83
